Injury Level,Final Narrative
2,An employee slipped on ice in the parking lot while walking from his car to report for work in the morning.  He sustained a fractured left ankle and was admitted to the hospital.
2,"An employee in Store 035 at 510 Fairview Road, Woodlyn, PA 19094, was injured when his left arm was caught in a trash compactor."
2,The employee started operating a forklift when the throttle became stuck.  The employee then jumped from the forklift and got his foot pinned between the forklift and another piece of equipment.
2,Employee was going down stairs that had snow on them to check movement underneath the grain silos.  He slipped down the stairs or fell forward and hit his head on the concrete floor.
2,"At approximately 8 PM, 2/3/2015, a worker was struck by a hand-hole cover, sustaining unspecified injuries to the head/face.  He was part of an Underground Trouble team assigned to investigate a manhole explosion/no power condition. The initial report is that he was in the process of tapping the cover with a hammer to loosen it when the cover was blown up into his head/face."
2,A worker was lifting a 42-pound part onto a shelf at chest height. The part fell onto his right-hand fifth digit and partially severed it at approximately the location of the cuticle.
2,"Employee was walking in the very center of 10-feet tall racking on plywood and then stepped down to the next level on a piece of plywood that had no center support. It collapsed and he fell 6 feet to the next level.  

He was disassembling the racking system just before he fell"
2,An oxy-fuel cutter caught his lower right pant leg on fire on 1/31/15 resulting in third degree burns on his right leg from the ankle to the knee. The worker was hospitalized on 2/3/15 for treatment of the burn injuries.
2,Employee received a splinter from the ladder while climbing out of the elevator pit.
1,Employee was manually loading a piece of pipe onto a trailer. The pipe shifted and cut off the tip of the employee's right middle finger.
2,"Employee using a sledge hammer to straighten a piece of metal had his grip on the hammer slip. The handle of the hammer then came back and struck his jaw, breaking his jaw and knocking out several teeth."
3,Two employees were painting from a scissor lift.  The scissor lift tipped over and the two employees fell.  The two employees were taken to the hospital for medical care.
2,Employee slipped on ice in the parking lot next to her personal car. She suffered a fractured hip and discomfort in her left side.
1,An employee's finger was caught between the top and bottom of the top drive track causing an acute traumatic amputation of the left distal index finger.
2,Employee was caught between a backing 18 wheeler and the truck dock.
1,"While using a powered roller to form a piece of metal, the employee's glove caught on a piece of metal, pulling his hand into the roller. Employee suffered an amputation of the left-hand pointer finger up to the second knuckle and damage to the left-hand thumb, which was stitched back together."
2,"Employee was replacing the panel on a Case 650K dozer.  The panel slipped and the employee's hand made contact with the fan, resulting in a major laceration and bone crushing.  Employee was admitted to the hospital and underwent hand surgery with a hand specialist."
2,An employee was walking in a parking lot and turned quickly to see a salt/sanding truck coming through the lot and slipped on ice. The incident occurred at approximately 10:55 PM as the employee was walking to her car.
2,"Employee was driving a standard roll-off truck for picking up containers of spent material from various metalworking companies in the area.  He was on-site to pick up a metal box type container from a customer.  The employee hooked the truck's wire rope cable and winch up to the box and engaged the winch briefly.  The box was moved close to the bed of the truck and raised a few inches off the ground.  The winch was disengaged.  He then placed a tarp over the box.  As the employee was placing the tarp, he stepped onto the chassis rail on the back of the truck.  At this time, the hydraulic winch pulled the wire rope slightly.  The employee's left foot was caught between the box and the back of the truck.  Medical services were called.  He was taken to a hospital.  Several bones were broken in the left foot. The employee underwent surgery, and the employee was hospitalized."
2,Employee was lifted up on the forks of a forklift and fell 14 feet to the ground below striking his head. Employee was hospitalized.
2,"An employee leaving the work place, slipped and fell on the pavement breaking a hip."
3,Two employees were taken to the emergency room at Denver General for oxygen and observation after being exposed to carbon monoxide from a propane heater being used indoors.
2,Employee was hospitalized as a result of a fall from approximately 19 feet when a scaffold brace failed and the scaffold collapsed.
2,"A maintenance employee who was clearing snow fell while walking across the driveway.  The employee struck his/her head, requiring an in-patient hospitalization."
2,Employee partially amputated the left tip of his pinky and 1/3 of his ring finger on the left hand while setting up a Flexographic Printer.
2,An employee was hospitalized from injuries he received when he fell off of a ladder.  The employee put an aluminum ladder in the bed of his truck and leaned it against a power line to cut a telephone line.  The employee fell on the concrete area below.
2,"An employee had just finished unloading a shipment of cardboard boxes.  The cardboard boxes were on pallets; the individual pallets and stacks of cardboard boxes were secured with banding straps.  The employee grabbed and pulled on a banding strap on one of the pallets to try and straighten the pallet by a few inches to align with the other pallets.  When the employee pulled on the banding strap, the strap broke and the employee fell to the floor.  The employee broke his left hip.  The employee was hospitalized for hip surgery."
2,"A metal plate fell off of a forklift and hit an employee standing in the area, injuring the employee's foot."
2,"Employees were installing a pump at the facility. During the process, the pump shifted and caught one of the employees fingers, smashing it against the pedestal wall of the pump. Employee was transported to the Memorial Herman Hospital where they determined that the finger had a fracture."
1,"Employee was exiting work vehicle and caught finger in driver-side door, resulting in the amputation of the employee's right middle fingertip."
2,A maintenance employee slipped on ice while applying salt to ice on the ground in the fenced-in yard of the facility.  He slipped and broke his left fibula and dislocated his left ankle.
2,"The employee was working in the bakery pulling a stock cart when the cart caught her in the heel and knocked her shoe off.  The employee tripped over the shoe, causing her to fall on her left hip."
2,"Employee was loading boxes onto a conveyor belt when his glove got caught in the belt. As a result, the employee lost the tip of his left index finger. The worker was taken to a nearby clinic and was then transported to a Reconstructive Orthopedic Center located at 1200 Binz St. Houston, TX 77004."
1,"Employee was loading the cargo hold and started to close the cargo door.  The door snapped back and caught his finger, amputating his right index finger at the first digit."
2,"An employee fell 12 feet to the ground from the top of the top wagon, resulting in a broken left elbow. He was admitted to the hospital for surgery."
2,Employees were making a connection when tubing fell striking the employee in the lower face.
2,Employee inhaled paint fumes and was taken to the hospital.
2,Employee was leaving a private residence where she had provided home health care and slipped on a snow-covered handicap ramp.  Employee was transported to the Hospital of Central Connecticut New Britain Campus where she was admitted and treated for a fractured left ankle.
2,"An employee working off site at a health fair slipped and fell on the ice in the parking lot.  The employee broke the right fibula, leading to an in-patient hospitalization and surgical treatment."
2,An employee's left thumb was cut deeply while operating a meat band saw.
1,"At approximately 3:45 PM on 3/4/15, an employee was operating a pneumatic assembly fixture with two handed controls. The fixture's drive cylinder pinched off the tip of his left ring finger. The cylinder pulled off half the employee's fingernail and tissue, leaving the bone."
2,"On 2/4/15, an employee was standing on a pallet moving stock and tripped, resulting in a broken hip.  "
2,"An employee was inspecting an out-of-service water pipe.  The pipe had accumulated high alkaline water.  The employee received chemical burns to the feet, ankles, and calves."
2,"On February 4, 2015, at approximately 11:15 a.m., an employee working on an upper level of a new medical center construction at 505 Baxter Parkway in Social Circle, Georgia, descended a caged ladder to get something to eat.  The employee fell an estimated 10 or 12 feet to a lower level, suffering a fractured L-1 vertebrae, and was airlifted to the Gwinnett Medical Center in Lawrenceville, Georgia, where he was admitted and scheduled for surgery."
2,"Employee was carrying tar paper on the roof when he slipped on the roof's wet surface and fell from a two-story house, fracturing his lower back."
2,An employee was cutting a branch from a tree using a chain saw. The branch fell striking the employee in the chest and knocking him to the ground injuring his back and chest.
2,"Worker was walking out from the building and was struck on the head by a falling piece of metal that was removed from an upper level window. Worker was taken to Methodist Hospital at 6565 Fanning St. in Houston, Texas, where personnel stitched his head."
2,"Employee was sitting at the kitchen table of a customer's house filling out paperwork when the chair broke underneath him.  The employee fell and hit his neck, suffering a herniated disk in his neck that will require surgery."
2,"An employee missed the step while exiting the ambulance and fell from the ambulance rear door, striking his head."
2,Employee was injured in a motor vehicle accident while traveling from his office to another location for a meeting.  Employee suffered head injuries in the accident and was transported to the emergency room and admitted for continued treatment.
2,"Employee was cutting chicken at his work station on the deboning line. The chicken slipped to the floor, and the employee reached to pick it up with knife still in hand. The employee punctured his eye with the knife while picking the chicken up toward himself and required hospitalization."
2,"On 2/4/15, worker was operating a Trumf press brake when the punch came down on his fingers while he was setting the press up to operate.  Specifically, the worker was placing a polyurethane cover over the die so that the part to be processed would not be damaged. The worker stepped forward on the foot pedal, which activated the press and injured multiple fingers.  The worker was hospitalized following surgery to place pins in the injured fingers."
2,"The employee was unloading a flatbed semi trailer. The forklift operator was removing material from the trailer. The material began shifting on the forks, and the employee moved to avoid being struck. The employee lost his footing and fell off of the trailer, fracturing his pelvis."
2,"Employee was offloading a structural beam in a laydown yard.  When the beam was lowered, it rotated, and the employee's hand was caught between the cribbing and bracing.  As a result, the employee broke his third, fourth, and fifth fingers (metacarpals). The employee was hospitalized later that day."
2,"An employee fell approximately 12 feet from the top of a DOT water tank at the Naval Shipyard on February 2, 2015. The employee had been filling the tank with waste water from a naval vessel. They had just completed the job when it started to rain. The supervisor or team leader asked the victim to climb up and close the top hatch.  The victim fell off, landed head first on the asphalt, and required hospitalization."
1,Employee lost a fingertip when an internal pipe valve was activated. The employee bumped the emergency shut off with his body and the valve shut on his finger.
1,The employee was using a miter saw to cut pieces of aluminum that were to be assembled into prototypes for the organization. His thumb was jerked into the saw and was cut.
2,"An employee unstrapping unit #6 on top of his truck slipped on ice and fell approximately 8 feet, fracturing his elbow."
1,Employee cut off tip of left thumb while preparing arts and crafts materials using a paper cutter.
1,"An employee was taking the bolts out of an 8-inch flange when the 40 lb. flange fell 1 inch onto his left pointer finger, resulting in a laceration. The finger had to be amputated at the knuckle at York Hospital."
1,"Employee was operating a roll mill swedger. He was pushing on a slide bar when he placed his right hand on the moving equipment, severely crushing his middle finger.  He was taken to the hospital where the tip of his right middle finger was amputated at the first joint."
2,"An employee was injured by a utility knife. He was cutting banding on a wood bundle when the knife slipped, and he cut his left forearm."
2,An employee was kept overnight at the hospital for treatment of exposure to 10% nitric oxide that began to leak from a #49 cylinder at the roller table.
2,An employee was installing an underground piping fitting connection with mechanical equipment and received a severe injury when caught between the mechanical fitting equipment and the trench shoring.
2,"On February 5, 2015 an employee working at the Genesis Community Center tripped over a curb in the parking lot suffering a dislocated shoulder.  The employee was hospitalized due to the severity of the injury."
2,An employee severed a finger while working at the lathe machine.
2,"An employee was tightening a bolt on a 16"" pipe flange located 6"" off the floor with a 3/4"" ratchet wrench.  The wrench broke, causing the employee to fall backwards and hit the ground.  Upon falling to the ground, the employee's leg was fractured."
1, Employee's finger was amputated when caught in spot welder.
2,"An employee #1 operating a picker was struck by the load of a second picker, resulting in multiple leg fractures to employee #1."
2,Employee fell from ladder while painting.
2,Employer reports hospitalization due to an employee tripping on an area rug that was not secured to the floor at Disney Hollywood Studios-Tower of Terror.
2,A federal prison inmate was cleaning the floor with compressed air when the inmate tripped on a metal frame and fell resulting in a broken right forearm. The inmate was admitted to the hospital.
2,An employee at a remote Marathon Oil jobsite was pressure testing pipe when he was struck-by 9500psi of water when bolts broke on the flange connecting two pipes causing the high pressure water to strike the employee and one other sub-contractor's employee who were standing approximately 15 feet away.
2,"An employee fell from a beam he was standing on, down to a catwalk below, when he was removing rust from another beam. The employee sustained neck and back injuries."
2,"Employee was taking papers out to a truck driver. She left the office through the south office door. Walking to the truck, she slipped on ice in the parking lot and fell. She landed on her left hip, striking the ground. She injured her left hip and possibly her back. She was transported to Mercy Hospital in Springfield, Missouri, where she was admitted."
1,An employee suffered an amputation of the tip of his right ring finger while adjusting the platen on the 7202 printing press.
2,An employee passed out and was found unconscious. The employee regained consciousness and was found to have a gash near the right temple. Blood was observed on a parts cart and the floor where the employee was first found. EMS responded and took the employee to Doctor's West Hospital. A cat scan was performed and the employee was found to have minor internal brain bleeding. The employee was taken to Grant Hospital for further tests.
1,"Incident occurred right outside the test bay in the Conroe Facility.  Employees were working on a pump unit skid simultaneously. The lead man and assembly technician were working on the control panel. The injured employee was laying on the left side between the radiator housing assembly and the fan belt assembly. Injured employee reached up to grab and hold the wrench (to ""hold backstop"") at the same time that the assembly technician hooked up the airline from the start exhaust to the throttle exhaust. As soon as the engine started (by plugging in the airline), the injured employee jerked his left arm back. The motion caused the injured employee's right arm to move up. The sleeve of his shirt was caught by the fan belt. When he went to pull away from the fan belt, his hand got caught in the fan belt. The fan belt ran his hand through the pulley, causing partial amputation of his right ring finger, an abrasion to his middle finger, and bruising/abrasion to his right arm."
2,An employee fractured his hip when he was walking across a pad to the chicken coops and slipped on ice beneath snow and fell.  He was admitted to the hospital and may need surgery.
1,An employee was troubleshooting the installation of a tool (XT1000 - used in wafer semi conductor manufacture) when a door would not open. The employee tried to manipulate the door resulting in a right thumb tip amputation.
2,"Employee stepped on something (possibly a plastic cap used for shipping) and fell on her hip. She was admitted to Capital Region in Jefferson City, Missouri with a broken hip."
2,On 2/5/15 an employee acting as part of a rapid response healthcare team was transferring a patient from the inpatient bed to a cart when the employee incurred a back strain. The employee was admitted and hospitalized for 3 days.
2,"An employee was climbing off a trailer using the trailer ladder when he lost his grip and fell 8 to 10 feet.  He broke his left leg, left ankle, and right knee in the fall."
2,"A worker had both hands amputated by a rotating auger while cleaning Mixer 1, in Tunnel 1, on the raw production side of the plant."
2,Employee was attempting to pull a ladder out of a manhole at a sewer lift station. The manhole hatch cover fell on the employee and knocked him down the hole. Employee fell approximately 20 feet to the ground below.
2,An employee was working on the center mac of the radial truck curing machine when he sustained 3rd degree burns to approximately 11 to 14% of the left side of his body.
1,"Employee noticed that the cargo door of his assigned Long Life Vehicle snapped while unloading mail. He placed flat tubs (plastic containers that are used to carry mail) under the broken cargo door to hold the door up as he was unloading mail when he either hit the tub or the tub flipped out, causing the door to fall on his right hand. He severed his middle fingertip."
2,"On or about February 5, 2015, an employee fell approximately 12 feet from an elevator pit ladder. The employee fractured his left leg and injured his back and right ankle. "
2,"Employee was lowering trash from the edge of the flat roof he was working on. He fell 11 feet 8 inches when the soffit he was standing on collapsed. He broke ribs, shattered an elbow, and cracked his pelvis."
2,"A helper began raising the powered dock plate. While the dock plate was in motion, the injured employee walked onto it and shut the trailer door. He slipped, and got his legs stuck between the dock plate and the back of trailer. While he pulled up on the plate to get if off his legs, he told the helper to pull the truck out to free him.  When the truck was pulled forward, the plate snapped downward and severed the ends of the helper's left index and middle fingers."
2,Electrician working at a client site tripped on an electrical cord and hit his head. Employee was admitted to the hospital due to brain hemorrhaging.
1,An employee received an amputation to the left middle finger while using the patty machine within the meat department.
2,Employee slipped on ice in the parking garage and fell injuring a leg.
2,"Employee discharged a nail gun. A nail became lodged in the left lower leg, requiring surgery to remove."
2,Employee crushed finger while making gowns on machine #25. Glue had gotten on the material and the employee was sprinkling powder onto the glue.  One finger was crushed and others were cut.
2,A home healthcare/personal care attendant was taking out the trash and tripped and fell due to an uneven driveway resulting in fractures that required hospitalization.
2,Employee was walking to work when he slipped on ice bruising his right hip.
2,"An employee was working on an offshore barge and fell while trying to connect a hook to a lowered boom of a crane. The employee braced his fall with his hands, fracturing his right wrist. The employee was taken to the hospital by helicopter to receive treatment. A cast was placed on the employee's right wrist and he was kept overnight for observation."
1,"On or about February 6, 2015 at 12:00pm, an employee's finger was caught in between two collars on a pipe while assisting in the lay down of 3 1/2"" tubing coming out of the oil head."
2,"At the end of her shift, the worker slipped on a patch of ice in the driveway. She fell, broke her ankle, and was hospitalized."
1,"An employee was moving the forks of a forklift closer together, slightly raising the fork. He slipped as he began to push the fork, pinching the tip of his right middle finger between the fork and the forklift mast."
2,"An employee slipped on ice, resulting in a broken hip."
2,Employee slipped on an icy surface and fell. 
2,Employee dislocated his right ankle while stepping off of a rail car. Employee was sent to the hospital where they admitted him because his ankle kept popping out of place after they set it. They had to perform surgery on the ankle. 
1,A maintenance employee suffered an injury to the right hand during maintenance operations of a wire cabling machine.  The employee lost the ring and pinky finger on his right hand.
2,Employee was using a crane to pick up windows weighing 250 pounds. Employee's fingertip got caught between a window and a shipping container. Employee suffered an amputation from the first knuckle (tip) of the pointer finger.
2,"The worker was attempting to straighten a load of pallets that the forklift operator was placing on the delivery truck. The worker fell off the top of the pallets, hurting his back and breaking several bones."
2,"An employee of Hebron Inc. delivered scrap cars to a salvage yard.  While unstrapping the restraints, at least two car logs dislodged from the scrap pile and rolled/slid, pinning the employee between the trailer and the car logs. The employee was hospitalized for injuries that included internal bleeding."
2,An employee fell while walking in the employee entrance and hit face on the wall.  The employee was hospitalized.
2,"Employee was climbing down from the fixed ladder of a grain truck after adjusting a spout. The ladder broke, and he fell 5 feet and broke his pelvis."
2,"An employee was delivering a cylinder of gas to a customer.  The cylinder was being moved with a cylinder cart.  As the employee was walking the cart and cylinder to the customer's door, he slipped in the snow.  His hand got caught between the cylinder and the concrete parking lot.  The employee crushed the tips of his index and middle finger on his right hand.  In-patient hospitalization was required for surgery on the fingers."
1,An employee received a partial right thumb amputation while strapping lumber on the dry chain.
2,The employee was cleaning the windshield of a semi-truck with the hood of the truck open.  He finished cleaning the windshield and went to step down when his wedding ring caught on the hood.  The weight of the employee's body and the ring being caught on the hood caused the hood to cut the employee's finger.  The finger was later amputated at the hospital.
1,"An employee was polishing a shaft on a lathe  with an emry cloth when his hand became caught, pulling him into the lathe and injuring his right hand. He fractured the ring and pinky fingers on his right hand and sustained damage to the flesh as well.  His right pinky finger was amputated due to the damage."
2,"On or about 2/6/2015, a temporary employee was moving a roll of paper to place it on a corner board machine.  The roll of paper fell, striking him in the left leg.  As a result of the employee's injury, he was hospitalized for more than 24 hours."
2,"Worker was repairing an overhead door roller located in the shop. He set up an extension ladder against the wall of the building and climbed up. After he made the repair using his hands, he fell while descending the ladder. He landed on a water pump that was below and sustained multiple injuries to the right side of his body, including his right arm, knee cap, ribs, and cheek.  He also sustained a cranial injury due to the fall and suffered a concussion."
2,"On or about 2/05/2015 at approximately 10:15 a.m., an employee was delivering merchandise to a customer. When the employee was placing a case of bottled soda on the hand truck, a couple of glass bottles fell to the ground and the employee was struck with glass fragments in his left eye. The employee was hospitalized overnight for glass extraction."
2,"Employee was walking in an open area when a forklift weighing 26,000 pounds struck his right lower leg and rolled over the leg."
2,"Employee was preparing his truck to do electrical work on a pole. When he turned around, he missed the stairs and fell to the ground. "
3,Two employees sustained injuries to the right hands while changing the tires of a snow blower machine.
1,An employee suffered a severe injury to his right-hand ring finger while installing a belt on the number 7 dust collector.
2,"Employee was clearing a jam on a hydraulic press. During the process, the hydraulic system activated, and the ram caught the employee's right wrist and pinched it against the inner frame. The employee fractured his right wrist."
2,"Employee stepped on a metal pin, puncturing the right foot."
2,An employee injured his back when he slipped on wet/icy ground and fell  getting into his work truck.
2,"Employee was sprayed with hot water while cleaning an inductor (a piece of filling equipment used to fill the containers of personal care products). The nozzle of the hose came loose and splashed the employee with the hot water, causing burns to the skin."
2,An employee was running the pneumatic press when the part that he was working shifted.  The space bar that he was using struck him in the head.
2,"An employee was in a tree approximately 32 feet in the air, when he slipped and the chainsaw he was using cut his left forearm."
2,An employee was injured while working alongside the FLA Turnpike. The employee was working behind road barriers and was struck by a piece of flying metal debris that came off a motor vehicle that was passing by the worksite.
1,"Employee was feeding a 6 by 8 ten gauge metal into a roller machine. The roller caught his gloved left hand and pulled it in, cutting off his left index finger and peeling the skin off the middle finger."
2,"On or about 2/6/15 at approximately 3:25 p.m., a worker was operating metal roller equipment. The worker turned on the switch and began feeding the sheet metal into the roller. Once a piece of sheet metal is placed into the rollers the machine begins the process of rolling the sheet metal into a cylinder form. The worker then began feeding another piece of metal through the rollers. At the same time, he reached over and removed the previously formed cylinder. The worker's glove was caught by the roller, which pulled his hand into the machine. The machine crushed his right hand."
2,An employee fell and struck a mail sorting basket. The employee was hospitalized and treated for a collapsed lung.
2,An employee received second and third degree burns to his left foot when he stepped into a pan full of hot oil.
1,"An employee was working on a twister machine, removing a package of yarn.  The yarn fell into the shaft and pulled her finger into the shaft, amputating the fingertip."
2,Employee was performing maintenance on the Sweed machine.  He opened the machine before turning it off and his hand became caught in the gears.
2,Employee dragged her foot on the carpet and it caused her to fall.
2,An employee was hospitalized with a broken foot due to a forklift tipping over.
1,"The employee was in a personnel lift and the crane it was attached to was lifting it to another area of the ship. As it was moving, the employee put his hand out to move the basket from the ship and his finger was caught."
2,Employee slipped on ice and broke her leg above the ankle.
2,Employee was mixing baking dough when the batch of dough came out of the mixer striking the employee in the abdomen. Employee finished shift after being struck and went home for the night. Employee was experiencing abdominal pain and went to the hospital the following morning at approximately 2am. Employee was admitted for internal abdominal bleeding.
2,An employee had his left thumb crushed by the wheels of a semi trailer as he tried to avoid being run over. The employee was knocked to the ground and pulled into the wheel well of the trailer crushing his left hand and amputating his thumb. The employee also sustained injuries to the lower left side of his body.
2,"Employee was mopping up spills and went to get a wet floor warning sign. He slipped on 2/7/15 at 1:13 AM, injuring his left hip."
2,"Employee walking to front entrance slipped and fell, bruising vertebrae, resulting in hospital admission."
2,An employee was using a propane floor stripper. The employee started feeling ill and went to the hospital. Blood tests showed elevated carbon monoxide levels.
2,"Worker left the bone saw running while getting more boxes of meat to cut. The blade caught his coat, pulled him in, and severed his right forearm. He was taken to UF Health Hospital in Gainesville, Florida to re-attach his forearm."
1,"Employee was helping to troubleshoot an air valve.  While trying to isolate the valve, the valve closed, resulting in partial amputation of his left middle finger."
2,A material handler employee's foot was run over by a large aluminum air craft container.
2,"Employee tripped on luggage in the doorway of a guest room, impacting with the floor, and hurting the left shoulder."
2,"An employee was carrying a bucket of cleaning liquid through the facility when he tripped and fell. The impact allowed a splash of cleaner to make contact with his eyes, exposing them to corrosive chemicals."
1,"A Walmart employee was using a tire balancing machine in the Tire Lube Express Area.  The machine was spinning a tire to balance. The employee reached in to flip the tire over to balance it and the tire slipped.  The employee tried to grab the tire, but it slipped and his hand was pulled into the machine.  The machine was still spinning at a high rate of speed. His hand got caught on the tire mount and rim.  His forefinger (ring finger) was amputated at the tip of finger and his middle finger was severely damaged.  He was taken to the hospital and admitted."
2,Employee sustained a broken rib while lifting a box at the facility. Employee was hospitalized.
2,Employee slipped on the ice leaving a client's home and broke her left ankle.
2,"Employee was cutting bands from a group of slit coils.  The coils were on the turnstile arm.  They were not in a static position. When the last piece was cut, it fell off the turnstile and hit the employee.  The piece was approximately 60 inches long and weighed 2000 pounds."
2,Employee stepped off of excavation equipment and broke his knee.
2,"Employee was pushing a tall, tin cart filled with dishes off the truck lift gate to the dock. An employee was on the loading dock helping maneuver the carts.  As the cart was pushed from the lift gate to the dock, it tipped forward and fell on the employee crushing his shins/feet.  He is currently in the hospital."
2,An employee was injured while operating a pallet jack in the store sort area of the warehouse. The employee's leg became caught between the pallet jack she was operating and other equipment. The employee was hospitalized.
2,"On February 9, 2015, an employee slipped and fell while delivering mail at a residential home."
1,"On 2/9/2015 at approximately 7:15 pm, an employee amputated the left middle finger (1st joint) with a belt and pulley on a wire bagging machine."
1,"An employee suffered an amputation to the first knuckle of the left pinky finger, while attempting to clear a jam in a molding machine."
2,An employee was injured by forklift extensions when lifting a load of sheet metal.
2,"Employee was operating a chop saw. Employee was clearing the trimmings from the point of operation. While he had his hand in the point of operation, the saw activated and the blade came up, amputating his right hand. The employee was taken to the hospital for re-attachment surgery."
1,Employee cut the tip of his finger with a knife when he was opening the plastic of a pallet.  He sustained a laceration to the middle finger on his right hand.
2,An employee slipped on a wet floor in the breakroom and fell sustaining a head injury and was hospitalized on 2/10/2015.
2,"An employee was injured and hospitalized after stepping into a containment dike sump area.  The containment area is approximately 18 inches deep and is siphoned out of the sump with a steam siphon.  At the time of the incident, the siphon was plugged in, which resulted in steam being diverted back into the sump and the water being heated.  The employee was burned from about his left knee to his left foot."
2,"Employee slipped on ice on the open grate steps by the wastewater facility. The employee's leg broke, and the employee required in-patient hospitalization and surgery."
2,"An employee was working with the injection mold machine when a plastic part got stuck and his arm got caught in the machine.  The mold closed on his hand/arm, resulting in crushing injuries to his hand and lower arm."
2,"Employee fell from a tractor trailer while offloading vehicles. Employee injured right shoulder, right side of head, and right ribs."
2,"On 2/9/15, an employee who works for National L.S. Inc. was at a HEB Distribution Center in Houston, Texas.  The employee was about to begin his shift (6:30 am) to unload a truck for the distribution center.  At the time of the accident, the employee  was standing at the side of a Barrett double pallet jack trying to move the machine.  The machine was on and struck the employee, pinning him between the Barrett double pallet jack and another pallet jack next to the area.  The employee sustained a fractured pelvis.  The employee was hospitalized."
2,"Employee was struck by a 12-inch pipe while it was being lowered into a three-foot deep trench, breaking his leg in two places above the ankle."
2,"Worker was conducting re-roofing work on a two-story, split-level home without his personal fall protective equipment. He slipped, fell 10 feet to the ground, and hurt his tail bone."
2,Two employees were struck by a copper pipe when they went into a storage room to retrieve pipe. Employee #1 was treated for bruising and released; employee #2 was admitted for monitoring.
2,Employee was walking to car when leaving work and slipped and fell on ice in company parking lot. Employee suffered a broken leg.
2,"On or about Monday, February 9, 2015, at 2:45 pm an employee was changing a transformer in a Merit Energy oil rig when he touched a hot wire injuring his head and left hand."
2,Employee was struck and run over by a tractor trailer truck.
2,Employee was reconnecting the battery on the forklift when he pinched his left pinky finger.
2,"An employee was unloading decorative tile from a truck.  The employee slipped and fell backwards, striking his head on concrete.  The employee was transported to the hospital and admitted due to losing consciousness."
2,An employee received third degree burns on his back while using a plasma cutter to repair a trailer.
2,One employee was injured when he was caught between the mast and body of a forklift.
1,The employee was installing a gear box at the Diedeshiem machine tool station (used in cutting metals for making toilet valves). The employee was using a hydraulic jack to align the gear box on the motor of the machine. His hand got stuck between the gear box disc and the motor case. His left hand pinky finger was amputated and his ring finger was also injured.
2,Employee slipped on the water on the floor and fell resulting in pain in the right leg and left wrist. She was admitted to the hospital for surgery.
2,Employee fell while rolling a saw blade from the mill to the sharpening shed.
2,Employee was hospitalized after sustaining a laceration to the left wrist while using a saw.
2,An employee was removing a hand temper (compaction for dirt) out of a dump truck by lifting it with a backhoe bucket. His left ring finger was pinched between the tailgate of the dump truck and the hand temper when he grabbed the hand temper as it slipped and fell off the bucket. The employee suffered some bone loss (no amputation) and incurred 100 stiches.
2,Employee fell on ice in the parking lot and was hospitalized with a fractured ankle.
1,Employee was operating a wrap machine that wraps noodles in the production line.  Employee was running the film through and re-threading the film through the machine.  Employee had machine on manual cycle ( 1 bag every 5 seconds). His hand came in contact with the end sealer ripping his fingernail off.
2,Employee suffered amputation of the left index finger while operating a core machine.
2,An employee was injured while mounting a small tire.  The rim split and the tire struck the employee. The employee received lacerations to his face and fractures to his right wrist.  He was transported to Morristown Hospital and admitted for treatment. 
2,Employee slipped and fell on the icy yard.
3,Two electricians came into contact with live parts which resulted in an arc explosion.
2,"Employee was flushing radiator on a truck and when he started to loosen the radiator hose it blew off spraying the employee with hot water.  The employee suffered second degree burns on his right arm and right side.  Accident happened on 2/10/15, but the employee was not admitted to the hospital until 2/11/15."
2,An employee sustained a partial finger amputation after sticking a hand in a snow blower.
2,"Employee was installing a TIW valve assembly for Blow Out Preventive (BOP) testing to get a pressure reading from the pipe. During the BOP process, the TIW assembly was sitting on top of the pipe when the pipe fell and struck the employee in the left foot causing lacerations.  Employee was Medevac'd to hospital to receive sutures in left foot and was kept overnight for observation."
2,An employee was hospitalized for a wrist injury after slipping on a floor that she was mopping.  Employee had surgery on her wrist.
2,Employee received an electrical shock to the right arm and right side of his body while leaning on a pole by the time clock inside the facility's sewing department.
2,"Employee was working in the Wets Tool Area which has hydrofluoric acid (HF) in the wafer and tool area.  The employee was exposed to HF and was sent to the Burn Unit in Lehigh Valley Hospital in Allentown, PA.  The employee is scheduled for skin graft surgery."
2,"At a delivery site branch, employee was unloading an 18-wheeler truck of milk into a delivery truck. The two trucks were parked next to each other and a ramp was landed between the two trucks' side doors. The employee was using the ramp to cross from one truck to another. While the employee was still standing on the ramp, the ramp fell from its holding place. The fall was approximately 4 feet. The employee was still standing when the ramp fell with him on it; however, after landing on the ground, the employee collapsed. Both of the employee's ankles were broken.  The employee was taken to the hospital and admitted."
1,An employee was cleaning a lap machine when the rag that he was using got caught in the rotation wheel.  The rag pulled his right hand and he lost the top of his right middle finger.
1,An employee's right forefinger was amputated at the tip when he got his hand pinched between two pieces of metal.
2,"An employee was operating a hand-held grinder when it kicked back and caused a severe laceration on the side of his face and a possible eye injury. The employee was admitted to Allegheny General Hospital in Pittsburgh, Pennsylvania, due to his injuries."
2,Employee suffered injury to his middle right finger when his hand got caught under a metal slide. He was admitted to the hospital overnight.
2,"On or about 2/10/15, a worker fell from a stainless steel tank to the ground, approximately 9 feet below, and sustained multiple rib fractures.  He was hospitalized overnight."
2,Employee was hospitalized after the circular saw he was using slipped and cut his left thigh.
